Al,Cr,Fe,Co,Ni,Cu,Ti,Si,ln(t),1/RT,ln(w)
0.0698,0.2326,0.2326,0.2326,0.2326,0,0,0,4.49823534,8.76E-02,4.28562586
0.0698,0.2326,0.2326,0.2326,0.2326,0,0,0,4.607085844,8.76E-02,4.381113718
0.0698,0.2326,0.2326,0.2326,0.2326,0,0,0,4.701577306,8.76E-02,4.431376166
0.0698,0.2326,0.2326,0.2326,0.2326,0,0,0,4.787905905,8.76E-02,4.493154239
0.0698,0.2326,0.2326,0.2326,0.2326,0,0,0,4.867370513,8.76E-02,4.528245944
0.0698,0.2326,0.2326,0.2326,0.2326,0,0,0,4.941303776,8.76E-02,4.551695567
0.0698,0.2326,0.2326,0.2326,0.2326,0,0,0,5.0098455,8.76E-02,4.568215703
0.0698,0.2326,0.2326,0.2326,0.2326,0,0,0,5.076516073,8.76E-02,4.591111829
0.0698,0.2326,0.2326,0.2326,0.2326,0,0,0,5.136644464,8.76E-02,4.603909392
0.0698,0.2326,0.2326,0.2326,0.2326,0,0,0,5.191113587,8.76E-02,4.647309712
0.0698,0.2326,0.2326,0.2326,0.2326,0,0,0,5.255979073,8.76E-02,4.677137297
0.0698,0.2326,0.2326,0.2326,0.2326,0,0,0,5.298196126,8.76E-02,4.700507638
0.1818,0.1818,0.1818,0.1818,0.1818,0,0.0909,0,0.860438694,8.76E-02,3.797890797
0.1818,0.1818,0.1818,0.1818,0.1818,0,0.0909,0,1.371814665,8.76E-02,3.8981269
0.1818,0.1818,0.1818,0.1818,0.1818,0,0.0909,0,2.895795063,8.76E-02,4.30307812
0.1818,0.1818,0.1818,0.1818,0.1818,0,0.0909,0,3.865776919,8.76E-02,4.434796963
0.1818,0.1818,0.1818,0.1818,0.1818,0,0.0909,0,4.218590633,8.76E-02,4.536259454
0.1818,0.1818,0.1818,0.1818,0.1818,0,0.0909,0,4.499089816,8.76E-02,4.637133861
0.1818,0.1818,0.1818,0.1818,0.1818,0,0.0909,0,4.606617841,8.76E-02,4.705495044
0.1,0.2,0.2,0.2,0.2,0,0.1,0,1.058511425,0.10254,3.706326368
0.1,0.2,0.2,0.2,0.2,0,0.1,0,1.672133199,0.10254,3.983655058
0.1,0.2,0.2,0.2,0.2,0,0.1,0,3.00660923,0.10254,4.581328211
0.1,0.2,0.2,0.2,0.2,0,0.1,0,3.78456558,0.10254,4.928499286
0.1,0.2,0.2,0.2,0.2,0,0.1,0,4.205804454,0.10254,5.05487544
0.1,0.2,0.2,0.2,0.2,0,0.1,0,4.51648691,0.10254,5.089994691
0.1,0.2,0.2,0.2,0.2,0,0.1,0,4.605385819,0.10254,5.094909038
0.1,0.2,0.2,0.2,0.2,0,0.1,0,0.71471553,8.76E-02,4.759238005
0.1,0.2,0.2,0.2,0.2,0,0.1,0,1.371814665,8.76E-02,4.953528644
0.1,0.2,0.2,0.2,0.2,0,0.1,0,2.883455458,8.76E-02,5.325538487
0.1,0.2,0.2,0.2,0.2,0,0.1,0,3.870415222,8.76E-02,5.514025344
0.1,0.2,0.2,0.2,0.2,0,0.1,0,4.221490375,8.76E-02,5.581467934
0.1,0.2,0.2,0.2,0.2,0,0.1,0,4.501281077,8.76E-02,5.622818234
0.1,0.2,0.2,0.2,0.2,0,0.1,0,4.60341142,8.76E-02,5.656254014
0.25,0.1667,0.1667,0.1667,0.1667,0,0.0833,0,0.868304783,0.123617,0.823297865
0.25,0.1667,0.1667,0.1667,0.1667,0,0.0833,0,1.670181972,0.123617,1.56423132
0.25,0.1667,0.1667,0.1667,0.1667,0,0.0833,0,3.009861027,0.123617,2.378063554
0.25,0.1667,0.1667,0.1667,0.1667,0,0.0833,0,3.911647578,0.123617,2.594134677
0.25,0.1667,0.1667,0.1667,0.1667,0,0.0833,0,4.248504051,0.123617,2.652255563
0.25,0.1667,0.1667,0.1667,0.1667,0,0.0833,0,4.500031879,0.123617,2.594134677
0.25,0.1667,0.1667,0.1667,0.1667,0,0.0833,0,4.604358705,0.123617,2.652255563
0.1818,0.1818,0.1818,0.1818,0.1818,0,0.0909,0,0.662499473,0.123617,0.823297865
0.1818,0.1818,0.1818,0.1818,0.1818,0,0.0909,0,1.588117241,0.123617,1.868874819
0.1818,0.1818,0.1818,0.1818,0.1818,0,0.0909,0,2.998875524,0.123617,2.524527924
0.1818,0.1818,0.1818,0.1818,0.1818,0,0.0909,0,3.916071778,0.123617,2.713833446
0.1818,0.1818,0.1818,0.1818,0.1818,0,0.0909,0,4.251664976,0.123617,2.820664345
0.1818,0.1818,0.1818,0.1818,0.1818,0,0.0909,0,4.532329475,0.123617,2.872886444
0.1818,0.1818,0.1818,0.1818,0.1818,0,0.0909,0,4.604358705,0.123617,2.964757469
0.1,0.2,0.2,0.2,0.2,0,0.1,0,0.662499473,0.123617,2.300883646
0.1,0.2,0.2,0.2,0.2,0,0.1,0,1.670181972,0.123617,2.713833446
0.1,0.2,0.2,0.2,0.2,0,0.1,0,2.998875524,0.123617,3.048846409
0.1,0.2,0.2,0.2,0.2,0,0.1,0,3.911647578,0.123617,3.443554198
0.1,0.2,0.2,0.2,0.2,0,0.1,0,4.248504051,0.123617,3.523415014
0.1,0.2,0.2,0.2,0.2,0,0.1,0,4.49784116,0.123617,3.642914047
0.1,0.2,0.2,0.2,0.2,0,0.1,0,4.602385233,0.123617,3.663638566
0.25,0.1667,0.1667,0.1667,0.1667,0,0.0833,0,1.098102217,0.10254,2.206294433
0.25,0.1667,0.1667,0.1667,0.1667,0,0.0833,0,1.670181972,0.10254,2.458220385
0.25,0.1667,0.1667,0.1667,0.1667,0,0.0833,0,2.998875524,0.10254,2.917175961
0.25,0.1667,0.1667,0.1667,0.1667,0,0.0833,0,3.786370774,0.10254,3.443554198
0.25,0.1667,0.1667,0.1667,0.1667,0,0.0833,0,4.205742069,0.10254,3.572373727
0.25,0.1667,0.1667,0.1667,0.1667,0,0.0833,0,4.520875725,0.10254,3.642914047
0.25,0.1667,0.1667,0.1667,0.1667,0,0.0833,0,4.604358705,0.10254,3.686476569
0.1818,0.1818,0.1818,0.1818,0.1818,0,0.0909,0,0.826090972,0.10254,2.508379006
0.1818,0.1818,0.1818,0.1818,0.1818,0,0.0909,0,1.679408416,0.10254,2.975019232
0.1818,0.1818,0.1818,0.1818,0.1818,0,0.0909,0,3.006212586,0.10254,3.370600708
0.1818,0.1818,0.1818,0.1818,0.1818,0,0.0909,0,3.791383958,0.10254,3.55820113
0.1818,0.1818,0.1818,0.1818,0.1818,0,0.0909,0,4.206476076,0.10254,3.718559608
0.1818,0.1818,0.1818,0.1818,0.1818,0,0.0909,0,4.52248182,0.10254,3.747289862
0.1818,0.1818,0.1818,0.1818,0.1818,0,0.0909,0,4.604358705,0.10254,3.737788659
0.1,0.2,0.2,0.2,0.2,0,0.1,0,1.162499473,0.123617,2.496127132
0.1,0.2,0.2,0.2,0.2,0,0.1,0,2.370181972,0.123617,2.987174326
0.1,0.2,0.2,0.2,0.2,0,0.1,0,3.498875524,0.123617,3.244089895
0.1,0.2,0.2,0.2,0.2,0,0.1,0,4.061647578,0.123617,3.502127244
0.1,0.2,0.2,0.2,0.2,0,0.1,0,4.348504051,0.123617,3.562463711
0.1,0.2,0.2,0.2,0.2,0,0.1,0,4.54784116,0.123617,3.662438396
0.1,0.2,0.2,0.2,0.2,0,0.1,0,4.652385233,0.123617,3.683162915
0.25,0.1667,0.1667,0.1667,0.1667,0,0.0833,0,1.398102217,0.10254,2.332940799
0.25,0.1667,0.1667,0.1667,0.1667,0,0.0833,0,2.270181972,0.10254,2.711513116
0.25,0.1667,0.1667,0.1667,0.1667,0,0.0833,0,3.398875524,0.10254,3.086037782
0.25,0.1667,0.1667,0.1667,0.1667,0,0.0833,0,3.986370774,0.10254,3.527985108
0.25,0.1667,0.1667,0.1667,0.1667,0,0.0833,0,4.305742069,0.10254,3.614589182
0.25,0.1667,0.1667,0.1667,0.1667,0,0.0833,0,4.570875725,0.10254,3.664021775
0.25,0.1667,0.1667,0.1667,0.1667,0,0.0833,0,4.624358705,0.10254,3.69491966
0.1818,0.1818,0.1818,0.1818,0.1818,0,0.0909,0,1.226090972,0.10254,2.65157933
0.1818,0.1818,0.1818,0.1818,0.1818,0,0.0909,0,2.379408416,0.10254,3.225619798
0.1818,0.1818,0.1818,0.1818,0.1818,0,0.0909,0,3.406212586,0.10254,3.513801032
0.1818,0.1818,0.1818,0.1818,0.1818,0,0.0909,0,3.991383958,0.10254,3.629801292
0.1818,0.1818,0.1818,0.1818,0.1818,0,0.0909,0,4.306476076,0.10254,3.754359689
0.1818,0.1818,0.1818,0.1818,0.1818,0,0.0909,0,4.57248182,0.10254,3.765189902
0.1818,0.1818,0.1818,0.1818,0.1818,0,0.0909,0,4.654358705,0.10254,3.755688699
